Company,Industry,Review Title,Review Text,Rating,Date
DoorDash,Food Delivery,I am homebound and have to order food…,"I am homebound and have to order food delivery. I've been using DoorDash two times they delivered to the wrong address.. the first time they refunded my money of $19 which was just a portion. Today I ordered a meal that cost me $40. I did not deliver it, but it said on the app that it had been.
I sent a text to DoorDash and have heard nothing back
I would be very Larry of using any food delivery apps!!! I will no longer use these food delivery apps. I will order from the places that do their own deliveries.
BEWARE!!!!!
BEWARE!!!!
BEWARE!!!!
BAD FOOD APPS",1,2026-08-09T03:15:37.000Z
DoorDash,Food Delivery,Worst company in the world poor service,Worst company in the world the customer service is complete crap. I had a friend give me a door dash gift card bc I had to put my dog down this week and I had four confirmed orders in my door dash this week and get to the restaurant and they say they never received it and this is a common issue with DoorDash. I call DoorDash and they go we will get you a refund within 24 hours for your credits. I say what can you do as this has ruined my dinner for four nights this week and they go I get how you feel but there is nothing we can do for you. This company can burn in hell.,1,2026-08-09T02:37:40.000Z
DoorDash,Food Delivery,Ditch doordash,"What a ridiculous business, they take your money then find out they do not have what they claimed to have, so you choose no substitutions and they give a refund, that takes 5 to 7 business days. How about knowing your inventory so this can not happen, I will NEVER use this stupid doordash again, what a clown show, loaded with incompetence, I would advise to anyone to pass on these unorganized grifters.",1,2026-08-09T02:32:40.000Z
DoorDash,Food Delivery,Doordash is less than convenient.,"Doordash is less than convenient.
Less than helpful.
Less than useless......",1,2026-08-09T00:29:44.000Z
DoorDash,Food Delivery,"Door dash drives are clueless, customer service useless","Second time I placed delivery order from the same restaurant. Second time Door Dash delivered someone else's order. Door Dash customer service said all they could do was refund order - but not the whole charge for the order. When asked why, they told me I had to go after the restaurant. They have an I could care less attitude then have the nerve to ask my issue has been resolved - NO.",1,2026-08-08T23:35:27.000Z
DoorDash,Food Delivery,I have had two different orders…,I have had two different orders delivered to wrong address or stolen by driver even after texting or calling the driver they made no attempt to rectify the delivery. I had to deal with constant run around getting my money back for my orders they are the worst and delete my account they told they couldn’t refund my money on my last order to to their refund policy. They will not ever get my business again.,1,2026-08-08T14:13:37.000Z
DoorDash,Food Delivery,Order was delivered to the wrong…,Order was delivered to the wrong address. The Dasher stated it was the address Door Dash gave him and wouldn't resolve the issue. He asked me to go and pick uo the order myself after i told him i was sick. Can't talk with or even email anybody at Door Dash to verify if they did provide the wrong address.,1,2026-08-08T12:47:43.000Z
DoorDash,Food Delivery,Hopeless!!,"Hopeless!!
Order wasn’t delivered. Delivery time kept changing
In the end NO dinner
However did get a refund
However I wanted food 😏",1,2026-08-08T09:58:39.000Z
DoorDash,Food Delivery,They screwed up my order,"They screwed up my order, twice in one night, said they would refund it, they never did refund it, called back, they told me to contact the restaurant, when their employees messed it up, not the restaurant.",1,2026-08-08T04:45:44.000Z
DoorDash,Food Delivery,Priority Customer Consumer Beware,"Consumer beware: DoorDash charged me an extra $2.99 for Priority Delivery, advertised in red letters as “directly to you.” I have a screenshot of that claim, yet my driver had two other customer stops before mine. How is that different from regular delivery? DoorDash also refused to refund the fee. Regulators should examine whether customers are being charged for a service that is not provided as advertised.",1,2026-08-08T01:13:49.000Z
